Date,Open,High,Low,Close,Volume,Adj Close
2013-02-08,474,478.81,468.25,474.98,22597100,474.98
2013-02-07,463.25,470,454.12,468.22,25163600,468.22
2013-02-06,456.47,466.5,452.58,457.35,21203800,454.7
2013-02-05,444.05,459.74,442.22,457.84,20476700,455.19
2013-02-04,453.91,455.94,442,442.32,17039900,439.76
2013-02-01,459.11,459.48,448.35,453.62,19267300,450.99
2013-01-31,456.98,459.28,454.98,455.49,11404800,452.85
2013-01-30,457,462.6,454.5,456.83,14898400,454.18
2013-01-29,458.5,460.2,452.12,458.27,20398500,455.61
2013-01-28,437.83,453.21,435.86,449.83,28054200,447.22
2013-01-25,451.69,456.23,435,439.88,43143800,437.33
2013-01-24,460,465.73,450.25,450.5,52173300,447.89
2013-01-23,508.81,514.99,504.77,514.01,30768200,511.03
2013-01-22,504.56,507.88,496.63,504.77,16483800,501.85
2013-01-18,498.52,502.22,496.4,500,16890100,497.1
2013-01-17,510.31,510.75,502.03,502.68,16202800,499.77
2013-01-16,494.64,509.44,492.5,506.09,24671600,503.16
2013-01-15,498.3,498.99,483.38,485.92,31313300,483.1
2013-01-14,502.68,507.5,498.51,501.75,26221700,498.84
